HAVL IN Equity,price,volume,mc,pe,bm,div
2022-06-30,1098.2,22737025.0,688031.1032,57.4673,11.4579,7.5
2022-07-31,1249.35,21422174.0,782727.7898,65.3768,13.0349,7.5
2022-08-31,1391.5,16890705.0,871785.9043,72.8153,14.518,7.5
2022-09-30,1348.55,12074532.0,844877.385,70.5678,14.0699,7.5
2022-10-31,1216.3,18809476.0,762021.6999,63.6473,12.6901,4.5
2022-11-30,1253.55,14503724.0,785361.2821,65.5965,13.0787,4.5
2022-12-31,1099.95,15398322.0,689129.3863,57.5589,11.4762,4.5
2023-01-31,1181.75,22606910.0,740377.8829,61.8394,12.3296,7.5
2023-02-28,1197.05,13459874.0,749963.4819,62.64,12.4893,7.5
2023-03-31,1188.5,9920962.0,744606.8236,69.4623,11.2386,7.5
2023-04-30,1230.2,10882304.0,770732.2797,71.8995,11.6329,7.5
2023-05-31,1307.95,16649280.0,819443.4118,76.4436,12.3681,7.5
2023-06-30,1282.8,18672784.0,803686.6919,74.9737,12.1303,7.5
2023-07-31,1334.05,28286948.0,836014.9166,77.969,12.6149,7.5
2023-08-31,1384.55,15382685.0,867661.9713,80.9205,13.0925,7.5
2023-09-30,1388.95,19033304.0,870419.3384,81.1777,13.1341,7.5
2023-10-31,1246.15,18850962.0,780930.2413,72.8317,11.7837,7.5
2023-11-30,1302.65,13024719.0,816348.649,76.1338,12.318,7.5
2023-12-31,1367.95,12775577.0,857271.0509,79.9503,12.9355,7.5
2024-01-31,1294.4,20550538.0,811178.514,75.6517,12.24,4.5
2024-02-29,1531.35,25788364.0,959671.058,89.5003,14.4806,6.0
2024-03-31,1515.0,17131627.0,949424.7905,74.7041,12.7495,6.0
2024-04-30,1664.0,30441171.0,1042800.562,82.0513,14.0034,6.0
2024-05-31,1907.3,32256913.0,1195272.543,94.0483,16.0509,9.0
2024-06-30,1822.4,35100987.0,1142067.154,89.8619,15.3364,9.0
2024-07-31,1849.85,25457645.0,1159706.242,91.2155,15.5674,9.0
2024-08-31,1899.35,17189298.0,1190738.736,93.6563,15.984,9.0
2024-09-30,2012.9,19317397.0,1261925.396,99.2554,16.9396,9.0
2024-10-31,1638.4,25964496.0,1027144.204,80.789,13.788,9.0
2024-11-30,1718.0,16526581.0,1077085.896,84.714,14.4579,9.0
2024-12-31,1675.1,16158804.0,1050190.095,82.5986,14.0968,9.0
2025-01-31,1566.2,25315999.0,981916.1407,77.2288,13.1804,10.0
2025-02-28,1421.8,21103503.0,891385.7546,70.1085,11.9652,10.0
2025-03-31,1528.9,22213242.0,958531.2141,65.0873,11.5156,10.0
2025-04-30,1601.0,25001802.0,1003733.713,68.1567,12.0586,10.0
2025-05-31,1527.0,19106556.0,957340.0248,65.0064,11.5013,10.0
2025-06-30,1551.1,20066486.0,972449.3205,66.0324,11.6828,10.0
2025-07-31,1500.6,28212691.0,941185.9554,63.8825,11.3024,10.0
2025-08-31,1525.6,19973852.0,956866.1159,64.9468,11.4907,10.0
2025-09-30,1502.0,15934044.0,942064.0443,63.9421,11.313,10.0
2025-10-31,1493.9,17838931.0,936983.6723,63.5973,11.2519,10.0
2025-11-30,1441.9,15016943.0,904441.6405,61.3836,10.8603,10.0
2025-12-31,1424.9,11156784.0,893778.2742,60.6599,10.7322,10.0
2026-01-31,1285.0,23808195.0,806025.042,54.7041,9.6785,10.0
2026-02-28,1397.1,11594658.0,876340.534,59.4764,10.5229,10.0
2026-03-31,1350.2,2171207.0,846922.1574,57.4798,10.1696,10.0
