CLGT IN Equity,price,volume,mc,pe,bm,div
2019-06-30,1127.7,7167034.0,306718.1995,39.5407,21.2005,23.0
2019-07-31,1189.75,14171887.0,323594.9081,41.7163,22.367,23.0
2019-08-31,1274.55,7799195.0,346659.2898,44.6897,23.9612,23.0
2019-09-30,1503.95,14405600.0,409052.7943,52.7332,28.2738,23.0
2019-10-31,1549.2,11525708.0,421360.1442,54.3198,29.1245,23.0
2019-11-30,1474.2,24562408.0,400961.2216,51.69,27.7146,27.0
2019-12-31,1462.9,10047614.0,397887.784,51.2938,27.5021,27.0
2020-01-31,1328.55,14287920.0,361346.5141,46.5831,24.9764,27.0
2020-02-29,1285.4,11073327.0,349610.3339,45.0701,24.1652,27.0
2020-03-31,1252.7,17123076.0,340716.4037,41.7288,21.3728,27.0
2020-04-30,1459.1,20261948.0,396854.2386,48.6043,24.8943,27.0
2020-05-31,1391.5,29062319.0,378468.0097,46.3524,23.7409,27.0
2020-06-30,1406.7,20016070.0,382602.1913,46.8588,24.0003,28.0
2020-07-31,1423.3,23003307.0,387117.1529,47.4117,24.2835,28.0
2020-08-31,1363.25,13193484.0,370784.4156,45.4114,23.2589,28.0
2020-09-30,1433.5,15942278.0,389891.4063,47.7515,24.4575,28.0
2020-10-31,1516.7,18723432.0,412520.6278,50.523,25.877,34.0
2020-11-30,1513.7,21920111.0,411704.6708,50.4231,25.8258,34.0
2020-12-31,1565.25,12826412.0,425725.5308,52.1402,26.7053,34.0
2021-01-31,1603.3,16998266.0,436074.5846,53.4077,27.3545,34.0
2021-02-28,1581.2,11428682.0,430063.7019,52.6716,26.9775,34.0
2021-03-31,1559.35,10840318.0,424120.8155,40.9601,36.3783,38.0
2021-04-30,1481.9,10198860.0,403055.5273,38.9257,34.5714,38.0
2021-05-31,1720.45,17609194.0,467937.7029,45.1918,40.1366,38.0
2021-06-30,1685.8,9646156.0,458513.4003,44.2816,39.3282,38.0
2021-07-31,1704.4,11062169.0,463572.3146,44.7702,39.7622,38.0
