CIFC IN Equity,price,volume,mc,pe,bm,div
2019-03-31,290.48,36916515.0,227095.8116,18.9537,3.6577,1.3
2019-04-30,277.76,30187745.0,217151.3792,18.1238,3.4975,1.3
2019-05-31,306.54,42563685.0,239651.6125,20.0017,3.8599,1.3
2019-06-30,285.65,21571443.0,223319.9031,18.6386,3.5969,1.3
2019-07-31,259.65,30815957.0,202999.4111,16.9421,3.2695,1.3
2019-08-31,268.7,30159907.0,210075.691,17.5326,3.3834,1.3
2019-09-30,307.8,33183873.0,240644.9486,20.0839,3.8758,1.3
2019-10-31,305.0,28265702.0,238462.879,19.9012,3.8405,1.3
2019-11-30,312.15,45877609.0,244055.634,20.3677,3.9306,1.3
2019-12-31,305.5,26587251.0,238856.3069,19.9338,3.8468,2.3
2020-01-31,327.55,54182573.0,256103.5182,21.3726,4.1245,2.3
2020-02-29,306.5,34944458.0,248284.0137,19.999,3.8594,1.4
2020-03-31,152.85,89018624.0,123826.2512,11.4152,1.5277,2.1
2020-04-30,159.45,182638841.0,130681.6737,11.9081,1.5937,2.1
2020-05-31,141.7,298606262.0,116137.0025,10.5825,1.4163,2.1
2020-06-30,189.4,507648952.0,155232.3838,14.1449,1.8931,2.1
2020-07-31,202.5,279914213.0,165969.1537,15.1232,2.024,1.7
2020-08-31,232.2,199138161.0,190311.2962,17.3413,2.3208,1.7
2020-09-30,249.15,129615713.0,204203.5291,18.6072,2.4903,1.7
2020-10-31,273.25,118321917.0,223968.6419,20.407,2.7311,1.7
2020-11-30,388.7,143605951.0,318600.7641,29.0291,3.8851,1.7
2020-12-31,387.65,98666432.0,317744.023,28.9507,3.8746,1.7
2021-01-31,397.85,144191915.0,326109.3693,29.7125,3.9765,0.0
2021-02-28,518.9,163382971.0,425354.1371,38.7528,5.1864,1.3
2021-03-31,558.8,86229179.0,458231.9347,30.124,4.7734,1.3
2021-04-30,571.75,93024780.0,468855.0999,30.8221,4.884,1.3
2021-05-31,549.3,142525709.0,450459.1514,29.6119,4.6922,1.3
2021-06-30,513.25,71817171.0,420984.4908,27.6685,4.3843,1.3
2021-07-31,475.75,64210112.0,390241.2208,25.6469,4.064,2.0
2021-08-31,554.05,79286726.0,454480.1836,29.8679,4.7328,2.0
2021-09-30,564.25,54535248.0,462847.1141,30.4178,4.8199,2.0
2021-10-31,614.75,55925228.0,504271.6232,33.1402,5.2513,2.0
2021-11-30,550.5,61078878.0,451831.5889,29.6765,4.7025,2.0
2021-12-31,520.4,47505970.0,427220.1168,28.0539,4.4454,2.0
2022-01-31,629.5,76836471.0,516801.4655,33.9353,5.3773,2.0
2022-02-28,690.95,63441667.0,567250.5004,37.248,5.9022,2.0
2022-03-31,718.45,48847252.0,589876.6773,27.38,5.0123,2.0
2022-04-30,738.75,52204184.0,606566.8078,28.1536,5.1539,2.0
2022-05-31,679.6,46812680.0,558000.4096,25.8994,4.7413,2.0
2022-06-30,619.5,42122160.0,508896.6079,23.609,4.322,2.0
2022-07-31,700.7,42533653.0,575622.9136,26.7035,4.8885,2.0
2022-08-31,790.35,31443709.0,649310.3282,30.12,5.5139,2.0
2022-09-30,732.2,31712187.0,601569.8974,27.904,5.1082,2.0
2022-10-31,709.35,27380705.0,582808.7492,27.0332,4.9488,2.0
2022-11-30,714.85,32932997.0,587356.4746,27.2428,4.9872,2.0
2022-12-31,722.9,25701995.0,594053.1349,27.5495,5.0434,2.0
2023-01-31,706.95,41545898.0,581031.4283,26.9417,4.9321,2.0
2023-02-28,756.5,28404824.0,621792.8108,28.83,5.2778,2.0
2023-03-31,761.3,24125068.0,625811.0629,23.4679,4.3623,2.0
2023-04-30,871.1,39040248.0,716069.9027,26.8527,4.9915,2.0
2023-05-31,1050.9,56760906.0,863882.2101,32.3952,6.0217,2.0
2023-06-30,1142.0,26399357.0,938854.7887,35.2035,6.5437,2.0
2023-07-31,1132.1,34455700.0,930930.4456,34.8983,6.487,2.0
2023-08-31,1121.85,44755387.0,922615.2254,34.5823,6.4283,2.0
2023-09-30,1217.55,49105937.0,1001439.979,37.5324,6.9766,2.0
2023-10-31,1137.3,38959298.0,954795.4901,35.0586,6.5168,2.0
2023-11-30,1117.45,36008468.0,938130.8541,34.4467,6.4031,2.0
2023-12-31,1259.8,39654942.0,1057770.989,38.8348,7.2187,2.0
2024-01-31,1184.15,39628031.0,994345.6634,36.5028,6.7853,2.0
2024-02-29,1089.2,39755698.0,914722.6379,33.5758,6.2412,2.0
2024-03-31,1156.6,39818102.0,971508.1014,28.0933,4.9624,2.0
2024-04-30,1193.3,21915688.0,1002364.461,28.9847,5.1199,2.0
2024-05-31,1241.1,38492634.0,1042586.74,30.1457,5.325,2.0
2024-06-30,1423.5,30588472.0,1196013.087,34.5761,6.1076,2.0
2024-07-31,1416.6,29180340.0,1190285.673,34.4085,6.078,2.0
2024-08-31,1455.6,29060962.0,1223184.147,35.3558,6.2453,2.0
2024-09-30,1608.0,32785559.0,1351402.202,39.0576,6.8992,2.0
2024-10-31,1272.75,35240170.0,1069672.944,30.9145,5.4608,2.0
2024-11-30,1233.95,29433199.0,1037375.867,29.9721,5.2943,2.0
2024-12-31,1185.95,44354528.0,997124.3633,28.8062,5.0883,2.0
2025-01-31,1285.85,48709930.0,1081200.678,31.2327,5.517,2.0
2025-02-28,1400.75,38822862.0,1177869.433,34.0236,6.01,2.0
2025-03-31,1519.95,36427503.0,1278151.437,29.9675,5.4047,2.0
2025-04-30,1492.2,45987124.0,1254852.018,29.4203,5.306,2.0
2025-05-31,1601.0,27889957.0,1346477.527,31.5655,5.6929,2.0
