CHOLAHLD IN Equity,price,volume,mc,pe,bm,div
2024-10-31,1715.35,4123546.0,322104.0694,18.299,3.145,0.55
2024-11-30,1631.8,2666138.0,306415.2625,17.4077,2.9918,0.55
2024-12-31,1398.85,5560368.0,262672.5027,14.9226,2.5647,0.55
2025-01-31,1518.8,5437983.0,285196.4093,16.2022,2.7847,0.55
2025-02-28,1641.9,6293601.0,308311.8149,17.5154,3.0103,0.55
2025-03-31,1751.45,4213133.0,328882.8358,15.13,2.6279,0.55
2025-04-30,1864.1,9727362.0,350035.9669,16.1031,2.7969,0.55
2025-05-31,1866.2,4252687.0,350430.2996,16.1213,2.8,0.55
2025-06-30,2166.0,6447145.0,406725.9827,18.7111,3.2498,0.55
2025-07-31,1887.7,5601983.0,354467.515,16.307,2.8323,0.55
2025-08-31,1725.7,4272275.0,324047.5662,14.9076,2.5892,1.3
2025-09-30,1885.0,5484505.0,353960.5159,16.2837,2.8282,1.3
2025-10-31,1912.6,3811047.0,359143.1738,16.5221,2.8696,1.3
2025-11-30,1846.2,4783881.0,346674.7503,15.9485,2.77,1.3
2025-12-31,1812.9,3848296.0,340421.7609,15.6609,2.72,1.3
2026-01-31,1653.9,5502950.0,310565.1444,14.2873,2.4815,1.3
2026-02-28,1634.1,3423848.0,306847.1507,14.1163,2.4518,1.3
2026-03-31,1626.9,643307.0,305495.1575,14.0541,2.441,1.3
