EXID IN Equity,price,volume,mc,pe,bm,div
2020-04-30,157.25,58940514.0,133662.5,17.2046,2.0667,4.1
2020-05-31,162.9,52000352.0,138465.0,17.8228,2.141,4.1
2020-06-30,148.2,109358674.0,125970.0,16.2144,1.9478,4.1
2020-07-31,155.65,74774542.0,132302.5,17.0295,2.0457,4.1
2020-08-31,164.05,111035596.0,139442.5,17.9486,2.1561,4.1
2020-09-30,164.9,88752404.0,140165.0,18.0416,2.1673,4.1
2020-10-31,159.05,60465551.0,135192.5,17.4015,2.0904,4.1
2020-11-30,184.85,101515612.0,157122.5,20.2243,2.4295,4.1
2020-12-31,191.25,94797836.0,162562.5,20.9245,2.5136,4.1
2021-01-31,193.5,116884805.0,164475.0,21.1707,2.5432,2.5
2021-02-28,202.7,134526250.0,172295.0,22.1772,2.6641,4.5
2021-03-31,183.6,74764628.0,156060.0,19.2655,2.146,4.5
2021-04-30,177.95,64605354.0,151257.5,18.6726,2.0799,4.5
2021-05-31,191.3,80936178.0,162605.0,20.0735,2.236,2.0
2021-06-30,182.35,55052853.0,154997.5,19.1343,2.1313,2.0
2021-07-31,178.65,43243928.0,151852.5,18.7461,2.0881,2.0
2021-08-31,161.15,79314794.0,136977.5,16.9098,1.8836,2.0
2021-09-30,178.25,227114468.0,151512.5,18.7041,2.0834,2.0
2021-10-31,172.9,78509961.0,146965.0,18.1427,2.0209,2.0
2021-11-30,162.8,43092966.0,138380.0,17.0829,1.9028,2.0
2021-12-31,168.35,55622953.0,143097.5,17.6653,1.9677,2.0
2022-01-31,173.65,73720010.0,147602.5,18.2214,2.0297,2.0
2022-02-28,149.05,61032220.0,126692.5,15.6401,1.7421,2.0
2022-03-31,151.1,53633446.0,128435.0,18.2332,1.2135,2.0
2022-04-30,153.2,39149705.0,130220.0,18.4867,1.2304,2.0
2022-05-31,146.45,50988047.0,124482.5,17.6721,1.1762,2.0
2022-06-30,137.8,31867130.0,117130.0,16.6283,1.1067,2.0
2022-07-31,158.5,48783835.0,134725.0,19.1262,1.2729,2.0
2022-08-31,160.55,49318990.0,136467.5,19.3736,1.2894,2.0
2022-09-30,156.95,96883652.0,133407.5,18.9392,1.2605,2.0
2022-10-31,165.75,36423736.0,140887.5,20.0011,1.3312,2.0
2022-11-30,188.85,117466740.0,160522.5,22.7885,1.5167,2.0
2022-12-31,180.25,61487649.0,153212.5,21.7508,1.4476,2.0
2023-01-31,180.85,50378831.0,153722.5,21.8232,1.4524,2.0
2023-02-28,175.35,46868753.0,149047.5,21.1595,1.4083,2.0
2023-03-31,177.95,31167883.0,151257.5,18.3833,1.3587,2.0
2023-04-30,195.85,38070827.0,166472.5,20.2324,1.4954,0.0
2023-05-31,211.2,99811437.0,179520.0,21.8182,1.6126,0.0
2023-06-30,236.7,90768980.0,201195.0,24.4525,1.8073,0.0
2023-07-31,249.6,76646128.0,212160.0,25.7851,1.9058,0.0
