INFO IN Equity,price,volume,mc,pe,bm,div
2022-01-31,1736.2,147536068.0,7301793.899,34.0832,10.485,30.0
2022-02-28,1715.6,136591781.0,7215699.616,33.6788,10.3606,30.0
2022-03-31,1906.85,162808222.0,8021619.578,36.2933,10.6111,30.0
2022-04-30,1567.55,178264476.0,6594407.29,29.8354,8.723,30.0
2022-05-31,1503.6,188007348.0,6326313.227,28.6182,8.3671,31.0
2022-06-30,1461.9,145520682.0,6150862.8,27.5414,8.3137,31.0
2022-07-31,1549.7,125232833.0,6520549.828,29.1956,8.813,31.0
2022-08-31,1492.95,101186507.0,6281912.63,28.1264,8.4903,31.0
2022-09-30,1413.45,181480778.0,5947553.835,25.9111,7.4134,31.0
2022-10-31,1537.65,120714728.0,6470167.359,28.1879,8.0648,32.5
2022-11-30,1634.95,100838625.0,6880001.774,29.9716,8.5751,32.5
2022-12-31,1508.2,132567448.0,6337122.851,26.7364,8.4662,32.5
2023-01-31,1533.75,148722988.0,6398785.587,27.1893,8.6096,32.5
2023-02-28,1487.55,103606177.0,6169843.444,26.3703,8.3503,32.5
2023-03-31,1427.95,147976628.0,5923936.315,24.7736,7.8329,32.5
2023-04-30,1252.75,189721322.0,5197450.756,21.734,6.8719,32.5
2023-05-31,1318.3,161923663.0,5470779.807,22.8713,7.2314,32.5
2023-06-30,1335.5,133478463.0,5542157.651,22.5477,7.4243,34.0
2023-07-31,1355.7,221971771.0,5626415.789,22.8887,7.5366,34.0
2023-08-31,1435.45,115265009.0,5957631.179,24.2352,7.98,34.0
2023-09-30,1435.45,106350268.0,5957631.179,23.9681,7.3514,34.0
2023-10-31,1368.4,124515789.0,5679385.63,22.8486,7.008,35.5
2023-11-30,1455.15,91624850.0,6039506.347,24.297,7.4523,35.5
2023-12-31,1542.9,137126721.0,6403725.531,26.1819,7.976,35.5
2024-01-31,1660.9,177244278.0,6893487.024,28.1843,8.586,35.5
2024-02-29,1673.9,106121494.0,6947586.579,28.4049,8.6532,35.5
2024-03-31,1498.05,146180270.0,6218060.697,23.6323,7.0383,35.5
2024-04-30,1420.55,193749321.0,5896514.776,22.4097,6.6742,35.5
2024-05-31,1406.9,181182940.0,5841301.491,22.1944,6.61,46.0
2024-06-30,1566.75,186780924.0,6505190.613,24.3284,7.8117,46.0
2024-07-31,1868.25,200295728.0,7757027.198,29.0101,9.315,46.0
2024-08-31,1943.7,129440686.0,8070465.832,30.1817,9.6912,46.0
2024-09-30,1875.6,138641868.0,7787766.57,28.8111,8.5876,46.0
2024-10-31,1757.25,128815696.0,7296359.994,26.9931,8.0457,49.0
2024-11-30,1857.85,111435889.0,7714251.94,28.5384,8.5063,49.0
2024-12-31,1880.0,107840754.0,7806266.085,28.1564,8.8197,49.0
2025-01-31,1879.8,153821473.0,7805446.068,28.1534,8.8188,49.0
2025-02-28,1687.7,106705419.0,7008568.789,25.2763,7.9176,49.0
2025-03-31,1570.65,167341587.0,6523323.246,24.3512,6.7922,49.0
2025-04-30,1500.1,211853022.0,6230310.509,23.2574,6.4871,49.0
2025-05-31,1562.7,154274139.0,6491789.146,24.2279,6.7578,43.0
2025-06-30,1601.8,153843783.0,6654218.886,24.3361,6.9926,43.0
2025-07-31,1509.0,168425699.0,6268797.396,22.9262,6.5875,43.0
2025-08-31,1469.6,178033042.0,6105262.562,22.3276,6.4155,43.0
2025-09-30,1441.8,187894326.0,5989802.678,21.2436,5.7841,43.0
2025-10-31,1482.3,159330996.0,6158069.12,21.8403,5.9466,45.0
2025-11-30,1560.1,198426169.0,6481281.545,22.9866,6.2587,45.0
2025-12-31,1615.4,176599264.0,6711450.524,23.8929,7.8715,45.0
2026-01-31,1641.0,144013884.0,6817821.368,24.2716,7.9963,45.0
2026-02-28,1300.1,369525660.0,5271482.724,19.2294,6.3351,45.0
2026-03-31,1302.9,36264922.0,5282835.913,19.2708,6.3488,45.0
