ABB IN Equity,price,volume,mc,pe,bm,div
2015-08-31,1105.29,1171782.0,260128.134,102.532,8.3294,3.7
2015-09-30,954.21,1124846.0,224569.8961,88.5164,7.1908,3.7
2015-10-31,1114.75,1231277.0,262353.1719,103.409,8.4007,3.7
2015-11-30,1053.48,1699759.0,247932.794,97.7251,7.9389,3.7
2015-12-31,1003.5,1002662.0,236171.8794,70.919,7.0682,3.7
2016-01-31,874.39,800063.0,205784.2191,61.794,6.1588,3.7
2016-02-29,912.38,4727173.0,214726.7523,64.4793,6.4264,3.7
2016-03-31,1154.46,1782952.0,271698.3178,81.5871,8.1315,3.7
2016-04-30,1168.1,1974714.0,274908.7429,82.5511,8.2275,3.7
2016-05-31,1113.8,1417982.0,262130.6549,78.714,7.8451,3.7
2016-06-30,1102.05,1312811.0,259365.2374,77.8836,7.7624,3.7
2016-07-31,1138.74,1864078.0,268000.5035,80.4767,8.0208,3.7
2016-08-31,1043.08,789423.0,245485.2391,73.7156,7.3469,3.7
2016-09-30,1028.17,917781.0,241978.1688,72.6625,7.242,3.7
2016-10-31,989.64,1339857.0,232908.4905,69.939,6.9705,3.7
2016-11-30,955.42,889319.0,224855.9724,67.521,6.7296,3.7
2016-12-31,939.8,400774.0,221179.3622,53.1862,6.0593,3.7
2017-01-31,986.67,2748778.0,232209.2062,55.8385,6.3615,3.7
2017-02-28,1078.87,2201657.0,253908.5969,61.0565,6.9559,3.7
2017-03-31,1152.43,1595541.0,271221.524,65.2196,7.4302,3.7
2017-04-30,1269.21,2903187.0,298706.0397,71.8287,8.1832,4.0
2017-05-31,1314.23,4689378.0,309301.4583,74.3766,8.4735,4.0
2017-06-30,1306.18,2081633.0,307404.8784,73.9205,8.4215,4.0
2017-07-31,1279.48,3745739.0,301121.7952,72.4096,8.2494,4.0
2017-08-31,1206.82,1040247.0,284020.7896,68.2974,7.7809,4.0
2017-09-30,1259.58,2086527.0,296438.6202,71.2835,8.1211,4.0
2017-10-31,1247.83,2271436.0,293673.2159,70.6185,8.0453,4.0
2017-11-30,1259.49,1689713.0,296417.4336,71.2784,8.1205,4.0
2017-12-31,1263.18,1702502.0,297286.2579,118.72,7.4213,4.0
2018-01-31,1488.55,3152275.0,350326.9239,139.9016,8.7454,4.0
2018-02-28,1379.2,1566381.0,324590.6534,129.6239,8.1029,4.0
2018-03-31,1165.71,1567553.0,274347.1777,109.5594,6.8487,4.0
2018-04-30,1223.2,2445264.0,287877.5274,114.9627,7.1864,4.4
2018-05-31,1109.17,2008824.0,261039.3317,104.245,6.5165,4.4
2018-06-30,1061.13,1205722.0,249734.0199,99.7302,6.2342,4.4
2018-07-31,1097.01,1384442.0,258178.5687,103.1025,6.445,4.4
2018-08-31,1178.09,2552469.0,277260.9179,110.723,6.9214,4.4
2018-09-30,1269.39,3852708.0,298748.4271,119.3039,7.4578,4.4
2018-10-31,1151.76,2263202.0,271062.5979,108.2477,6.7667,4.4
2018-11-30,1268.4,15206574.0,298515.3279,119.2108,7.452,4.4
2018-12-31,1203.62,3546703.0,283268.5203,100.3016,6.3648,4.4
2019-01-31,1145.59,2319610.0,269611.0255,95.4657,6.0579,4.4
2019-02-28,1104.84,2400775.0,260022.1715,92.0704,5.8425,4.4
2019-03-31,1184.94,3528822.0,278871.4215,98.7446,6.266,4.4
2019-04-30,1331.97,2497179.0,313476.0591,110.9977,7.0435,4.8
2019-05-31,1413.01,2844005.0,332547.8129,117.7507,7.472,4.8
2019-06-30,1442.86,2273366.0,339572.5755,120.2381,7.6299,4.8
2019-07-31,1227.34,3122241.0,288852.306,102.2787,6.4902,4.8
2019-08-31,1205.15,1394945.0,283628.7645,100.4291,6.3729,4.8
2019-09-30,1364.43,2909512.0,321115.3561,113.7026,7.2152,4.8
2019-10-31,1313.33,2086668.0,309089.5558,109.4445,6.945,4.8
2019-11-30,1303.61,2124532.0,306800.9453,108.6341,6.8935,4.8
2019-12-31,1285.25,1475497.0,272355.239,90.1297,7.7371,4.8
2020-01-31,1310.7,1125903.0,277748.3071,91.9144,7.8903,4.8
2020-02-29,1185.0,1419025.0,251111.4244,83.0996,7.1336,4.8
2020-03-31,935.4,1996511.0,198219.094,65.5961,5.631,4.8
2020-04-30,900.55,1691005.0,190834.0871,63.1522,5.4213,4.8
2020-05-31,744.25,3375221.0,157712.8081,52.1914,4.4803,4.8
2020-06-30,941.15,7670061.0,199437.5671,65.9993,5.6657,0.0
2020-07-31,894.95,4018356.0,189647.4002,62.7595,5.3875,4.8
