KMB IN Equity,price,volume,mc,pe,bm,div
2024-05-31,336.08,1015573210.0,3340519.558,18.3731,2.5702,0.3
2024-06-30,360.5,801302150.0,3583282.215,16.6842,2.5384,0.3
2024-07-31,361.58,681664555.0,3594322.17,16.7342,2.546,0.4
2024-08-31,356.16,410307640.0,3540444.117,16.4833,2.5078,0.4
2024-09-30,370.79,509438415.0,3685875.096,16.7088,2.502,0.4
2024-10-31,346.22,549048170.0,3441634.553,15.6016,2.3362,0.4
2024-11-30,353.05,322255550.0,3509606.766,15.9094,2.3823,0.4
2024-12-31,357.21,419267805.0,3550977.585,15.7867,2.3228,0.4
2025-01-31,380.26,496352000.0,3780114.601,16.8054,2.4726,0.4
2025-02-28,380.59,419126765.0,3783426.456,16.82,2.4748,0.4
2025-03-31,434.24,522977305.0,4316829.762,19.51,2.741,0.4
2025-04-30,441.62,397709760.0,4390195.191,19.8416,2.7876,0.4
2025-05-31,414.94,414165400.0,4125077.726,18.6429,2.6192,0.4
2025-06-30,432.7,451313190.0,4301636.699,22.4639,2.6086,0.4
2025-07-31,395.72,426108330.0,3934228.321,20.5441,2.3857,0.5
2025-08-31,392.06,323924110.0,3898100.573,20.3541,2.3636,0.5
2025-09-30,398.54,414751940.0,3962668.301,21.3328,2.3582,0.5
2025-10-31,420.44,360808090.0,4180419.181,22.5051,2.4878,0.5
2025-11-30,424.88,318038745.0,4224906.85,22.7427,2.5141,0.5
2025-12-31,440.22,294080105.0,4378204.918,30.0532,11.8633,0.5
2026-01-31,408.0,362729144.0,4058100.031,27.8536,10.995,0.5
2026-02-28,415.2,352932951.0,4129713.561,28.3452,11.189,0.5
2026-03-31,407.05,49252433.0,4048650.902,27.7888,10.9694,0.5
