PIDI IN Equity,price,volume,mc,pe,bm,div
2022-11-30,1374.35,16016542.0,1397161.324,115.686,21.8175,5.0
2022-12-31,1275.08,13527716.0,1296265.612,107.3295,20.2416,5.0
2023-01-31,1139.78,13494752.0,1158724.979,95.9407,18.0937,5.0
2023-02-28,1150.4,11906180.0,1169526.631,96.835,18.2624,5.0
2023-03-31,1176.5,14461984.0,1196063.407,93.9321,22.8374,5.0
2023-04-30,1209.63,10541316.0,1229739.225,96.5768,23.4804,5.0
2023-05-31,1303.93,20609198.0,1325607.291,104.1058,25.3109,5.0
2023-06-30,1298.55,16795456.0,1320223.54,103.6766,25.2066,5.0
2023-07-31,1307.47,15115418.0,1329585.148,104.3892,25.3798,5.5
2023-08-31,1257.5,18004688.0,1278765.042,100.3992,24.4098,5.5
2023-09-30,1219.75,15363634.0,1240395.342,97.3852,23.677,5.5
2023-10-31,1229.0,16516698.0,1250094.507,98.1238,23.8565,5.5
2023-11-30,1276.18,14531866.0,1298079.217,101.8902,24.7723,5.5
2023-12-31,1357.55,17528270.0,1380925.219,108.3872,26.3519,5.5
2024-01-31,1266.53,34224658.0,1288332.889,101.1198,24.5849,5.5
2024-02-29,1368.0,21298998.0,1391555.154,109.2216,26.5547,5.5
2024-03-31,1507.35,21881500.0,1533304.577,88.6416,18.2381,5.5
2024-04-30,1524.5,12639778.0,1550749.878,89.6501,18.4456,5.5
2024-05-31,1484.75,22787548.0,1510315.435,87.3126,17.9646,5.5
2024-06-30,1579.48,17580542.0,1606671.475,92.883,19.1108,5.5
2024-07-31,1593.2,13836416.0,1620632.801,93.6901,19.2768,8.0
2024-08-31,1561.65,13789208.0,1588539.552,91.8348,18.8951,8.0
2024-09-30,1679.7,22125468.0,1708636.209,98.7768,20.3234,8.0
2024-10-31,1572.93,19145340.0,1600021.795,92.4978,19.0315,8.0
2024-11-30,1533.1,8855678.0,1559510.729,90.1558,18.5496,8.0
2024-12-31,1452.13,13611608.0,1477235.305,85.394,17.5699,8.0
2025-01-31,1435.85,20251108.0,1460678.876,84.4369,17.373,8.0
2025-02-28,1328.95,10628766.0,1351934.336,78.1505,16.0795,8.0
2025-03-31,1424.65,15733174.0,1449292.898,69.8016,14.8563,8.0
2025-04-30,1516.95,11475912.0,1543189.458,74.3239,15.8188,8.0
2025-05-31,1553.6,18429588.0,1580473.412,76.1195,16.201,8.0
2025-06-30,1527.2,14457960.0,1553616.757,74.8261,15.9257,8.0
2025-07-31,1434.9,11736824.0,1459778.54,70.3038,14.9632,10.0
2025-08-31,1525.15,15992928.0,1551593.31,74.7256,15.9043,15.0
2025-09-30,1468.0,13091842.0,1494004.199,71.9255,15.3084,15.0
2025-10-31,1444.6,12997989.0,1470189.691,70.779,15.0644,15.0
2025-11-30,1469.8,15011845.0,1495836.084,72.0137,15.3271,15.0
2025-12-31,1482.4,8827855.0,1508659.281,72.6311,15.4585,15.0
2026-01-31,1431.1,13764311.0,1456450.551,70.1176,14.9236,15.0
2026-02-28,1492.0,17276699.0,1518429.336,73.1014,15.5587,15.0
2026-03-31,1444.8,2432726.0,1470393.283,70.7888,15.0664,15.0
