CLPL IN Equity,price,volume,mc,pe,bm,div
2021-12-31,858.2,4555226.0,65024.8494,26.7936,5.8418,3.0
2022-01-31,795.15,1965025.0,60247.6218,24.8252,5.4126,3.0
2022-02-28,667.2,1807688.0,50566.3381,20.8305,4.5416,3.0
2022-03-31,678.2,2479056.0,51400.0157,17.1219,3.6471,3.0
2022-04-30,704.4,2374447.0,53385.6843,17.7834,3.788,3.0
2022-05-31,742.15,3189982.0,56255.3722,18.7364,3.991,3.5
2022-06-30,710.4,1132214.0,53848.705,17.9349,3.8202,3.5
2022-07-31,778.05,1721360.0,58976.6117,19.6428,4.184,3.5
2022-08-31,778.8,2218402.0,59033.4621,19.6617,4.1881,3.5
2022-09-30,744.4,1576226.0,56425.9235,18.7932,4.0031,4.0
2022-10-31,724.85,678711.0,54944.0229,18.2997,3.8979,4.0
2022-11-30,755.45,1246832.0,57263.5195,19.0722,4.0625,4.0
2022-12-31,713.3,1068462.0,54133.9391,18.0081,3.8358,4.0
2023-01-31,692.95,703695.0,52593.3431,17.4943,3.7264,4.0
2023-02-28,653.25,1111937.0,49583.4688,16.492,3.5129,4.0
2023-03-31,595.95,3225662.0,45234.2415,12.0103,2.5048,4.0
2023-04-30,678.3,2368094.0,51497.7203,13.6699,2.8509,4.0
2023-05-31,747.6,1906184.0,56759.0973,15.0665,3.1422,4.0
2023-06-30,806.55,2670082.0,61244.3628,16.2545,3.39,4.0
2023-07-31,908.45,3504147.0,68982.0116,18.3081,3.8183,4.0
2023-08-31,1056.6,8172399.0,80231.596,21.2938,4.4409,4.0
2023-09-30,1030.85,2746056.0,78282.4872,20.7749,4.3327,4.5
2023-10-31,1025.5,1880234.0,77877.235,20.6671,4.3102,4.5
2023-11-30,1255.0,4282146.0,95305.6362,25.2922,5.2748,4.5
2023-12-31,1356.15,3025511.0,102988.3988,27.3307,5.7,4.5
2024-01-31,1448.35,3286378.0,109990.2278,29.1888,6.0875,4.5
2024-02-29,1483.0,2940862.0,112621.6093,29.8871,6.2331,4.5
2024-03-31,1315.35,2578021.0,99889.9756,21.8533,4.4571,4.5
2024-04-30,1356.45,2373389.0,103011.1814,22.5361,4.5964,4.5
2024-05-31,1290.3,1786827.0,97987.6349,21.4371,4.3722,5.0
2024-06-30,1472.6,3708157.0,111932.7619,24.4659,4.99,5.0
2024-07-31,1574.05,4213812.0,119646.2101,26.1514,5.3337,5.0
2024-08-31,1905.0,14974830.0,144802.2809,31.6498,6.4552,5.0
2024-09-30,1897.95,8110670.0,144266.3984,31.5326,6.4313,5.0
2024-10-31,2035.4,5449935.0,154714.206,33.8162,6.897,5.0
2024-11-30,2196.35,2688503.0,166948.2885,36.4903,7.4424,5.0
2024-12-31,2500.65,5755896.0,190078.6476,41.5459,8.4736,5.0
2025-01-31,2074.35,4223199.0,157674.8616,34.4634,7.029,5.0
2025-02-28,1822.5,2912130.0,138531.316,30.2791,6.1756,5.0
2025-03-31,1999.8,3494200.0,152008.1897,28.3378,5.476,5.0
2025-04-30,1878.9,2988359.0,142818.3756,26.6246,5.1449,5.0
2025-05-31,2152.6,3148933.0,163622.7768,30.503,5.8944,5.5
2025-06-30,2117.6,2384347.0,160962.3674,30.0071,5.7985,5.5
2025-07-31,2066.4,1798836.0,157070.5686,29.2816,5.6583,5.5
2025-08-31,2098.6,3302812.0,159518.1452,29.7378,5.7465,5.5
2025-09-30,1966.1,2369344.0,149446.5955,27.8603,5.3837,6.0
2025-10-31,2032.8,1090614.0,154516.5756,28.8054,5.5663,6.0
2025-11-30,1910.8,1239136.0,145243.1487,27.0767,5.2323,6.0
2025-12-31,1838.1,1744762.0,139717.0984,26.0465,5.0332,6.0
2026-01-31,1773.9,1319463.0,134837.1475,25.1367,4.8574,6.0
2026-02-28,1700.1,1549418.0,129227.4844,24.091,4.6553,6.0
2026-03-31,1667.0,273251.0,126711.4972,23.6219,4.5647,6.0
