KKB IN Equity,price,volume,mc,pe,bm,div
2023-09-30,839.05,2439162.0,66628.0594,28.3559,4.746,4.5
2023-10-31,904.95,2399212.0,71861.1076,30.583,5.1188,4.5
2023-11-30,983.0,2040094.0,78058.9743,33.2207,5.5602,4.5
2023-12-31,888.05,1320862.0,70519.0967,30.0118,5.0232,4.5
2024-01-31,913.15,1623997.0,72512.2608,30.8601,5.1651,4.5
2024-02-29,919.65,1272675.0,73028.4188,31.0798,5.2019,4.5
2024-03-31,1095.05,6697558.0,86956.7444,24.9783,5.0587,4.5
2024-04-30,1312.75,2633816.0,104244.0676,29.9441,6.0644,4.5
2024-05-31,1718.6,7744004.0,136472.1802,39.2016,7.9393,4.5
2024-06-30,2121.85,3430314.0,168493.8296,48.3999,9.8021,4.5
2024-07-31,2437.0,3475819.0,193519.5527,55.5885,11.258,6.0
2024-08-31,1805.6,2586765.0,143380.7568,41.1861,8.3412,6.0
2024-09-30,1853.8,2965644.0,147208.267,42.2856,8.5639,6.0
2024-10-31,1931.55,4645172.0,153382.311,44.0591,8.923,6.0
2024-11-30,2279.9,7295333.0,181044.4104,52.005,10.5323,6.0
2024-12-31,2064.25,3312411.0,163919.8755,47.086,9.5361,6.0
2025-01-31,1857.85,7409854.0,147529.8732,42.378,8.5826,6.0
2025-02-28,1596.25,4799859.0,126756.4981,36.4108,7.3741,6.0
2025-03-31,1712.7,5200628.0,136003.6676,32.7539,6.4985,6.0
2025-04-30,1712.0,2394294.0,135948.0813,32.7405,6.4958,6.0
2025-05-31,1812.2,1997941.0,143904.8557,34.6567,6.876,6.0
2025-06-30,2357.4,13039722.0,187198.6022,45.0832,8.9447,6.0
2025-07-31,1970.9,6316883.0,156507.0523,37.6917,7.4782,7.0
2025-08-31,1941.6,3876429.0,154180.3707,37.1314,7.367,7.0
2025-09-30,1929.7,1759444.0,153235.4045,36.9038,7.3218,7.0
2025-10-31,1874.5,923983.0,148852.0318,35.8482,7.1124,7.0
2025-11-30,1690.3,1158334.0,134224.9076,32.3255,6.4135,7.0
2025-12-31,1610.2,1432556.0,127864.2526,30.7937,6.1096,7.0
2026-01-31,1566.3,1257023.0,124378.2008,29.9541,5.943,7.0
2026-02-28,1582.8,2876791.0,125688.4481,30.2697,6.0056,7.0
2026-03-31,1499.0,139735.0,119033.9801,28.667,5.6876,7.0
