ESCORTS IN Equity,price,volume,mc,pe,bm,div
2024-04-30,3358.55,7082689.0,371113.9345,39.0847,3.9529,7.0
2024-05-31,3818.3,7046255.0,421915.51,44.435,4.494,7.0
2024-06-30,4146.5,5675120.0,458181.0392,48.2544,4.8802,7.0
2024-07-31,4173.4,6704588.0,461153.4425,48.5674,4.9119,18.0
2024-08-31,3853.9,4964547.0,425849.2481,44.8493,4.5359,18.0
2024-09-30,4268.8,6790184.0,471694.9766,49.6776,5.0242,18.0
2024-10-31,3745.1,7083317.0,418993.3765,43.5831,4.4078,18.0
2024-11-30,3553.9,3106747.0,397602.3499,41.3581,4.1828,18.0
2024-12-31,3332.55,5016972.0,372838.2091,38.7821,3.9223,18.0
2025-01-31,3623.45,4479011.0,405383.4477,42.1675,4.2646,18.0
2025-02-28,2868.95,4583491.0,320971.6823,33.3871,3.3766,28.0
2025-03-31,3250.05,3015792.0,363608.2944,31.7915,3.5074,28.0
2025-04-30,3259.0,2123841.0,364609.6003,31.8791,3.5171,28.0
2025-05-31,3321.7,5204292.0,371624.3355,32.4924,3.5848,28.0
2025-06-30,3334.6,4000388.0,373067.5585,32.6186,3.5987,28.0
2025-07-31,3359.2,2070129.0,375819.7512,32.8592,3.6252,28.0
2025-08-31,3567.8,2627412.0,399157.4507,34.8997,3.8503,28.0
2025-09-30,3446.6,6561314.0,385597.8669,33.7142,3.7195,28.0
2025-10-31,3786.5,3155085.0,423625.1155,37.039,4.0864,28.0
2025-11-30,3817.4,2445030.0,427082.1381,37.3413,4.1197,28.0
2025-12-31,3719.8,1582003.0,416162.8693,36.3866,4.0144,28.0
2026-01-31,3380.8,2174913.0,378236.3107,33.0705,3.6485,28.0
2026-02-28,3518.6,3294324.0,393653.0652,34.4185,3.7972,36.0
2026-03-31,3342.2,208263.0,373917.824,32.6929,3.6069,36.0
